"","site_id","TriggerID","ImageFile1","ImageDate1","ImageFile2","ImageDate2","subject_id","top_identity","top_value","consensus_pct"
"48","GCBAC","GCBAC_CC_05Dec2021_102EK113_10080831","102EK113_10080831.JPG","2021:10:08 04:18:00","102EK113_10080832.JPG","2021:10:08 04:18:00","77393782","RINGTAIL","7","70"
"49","GCBAC","GCBAC_CC_05Dec2021_102EK113_10080833","102EK113_10080833.JPG","2021:10:08 19:56:25","102EK113_10080834.JPG","2021:10:08 19:56:25","77393783","RINGTAIL","7","70"
"50","GCBAC","GCBAC_CC_05Dec2021_105EK113_11090104","105EK113_11090104.JPG","2021:11:09 19:25:33","105EK113_11090105.JPG","2021:11:09 19:25:33","77395634","BOBCAT","9","90"
"51","GCBAC","GCBAC_CC_06Jun2021_3trigger/_DCIM3637","DCIM3637.JPG","2021:07:24 22:20:39","DCIM3638.JPG","2021:07:24 22:20:40","98196194","SPOTTEDSKUNK","8","80"
"52","GCBAC","GCBAC_CC_06Jun2021_3trigger/_DCIM4702","DCIM4702.JPG","2021:08:03 00:30:35","DCIM4703.JPG","2021:08:03 00:30:36","98197940","SPOTTEDSKUNK","8","80"
"53","GCBAC","GCWP_CC_13Sep2021_101EK113_06090616","101EK113_06090616.JPG","2021:06:09 02:28:26","101EK113_06090617.JPG","2021:06:09 02:28:27","98221736","STRIPEDSKUNK","4","40"
"54","GCBAC","GCWP_CC_13Sep2021_101EK113_06090619","101EK113_06090619.JPG","2021:06:09 02:28:59","101EK113_06090620.JPG","2021:06:09 02:29:00","98221737","SPOTTEDSKUNK","7","70"
"55","GCBAC","GCWP_CC_13Sep2021_101EK113_06090796","101EK113_06090796.JPG","2021:06:09 22:45:33","101EK113_06090797.JPG","2021:06:09 22:45:33","98221768","SPOTTEDSKUNK","9","81.82"
"56","GCBAC","GCWP_CC_13Sep2021_103EK113_06170799","103EK113_06170799.JPG","2021:06:17 04:27:36","103EK113_06170800.JPG","2021:06:17 04:27:36","98225832","SPOTTEDSKUNK","5","50"
"57","GCBAC","GCWP_CC_13Sep2021_109EK113_07150595","109EK113_07150595.JPG","2021:07:15 04:30:23","109EK113_07150596.JPG","2021:07:15 04:30:24","98226823","SPOTTEDSKUNK","7","70"
"58","GCBAR","GCBAR_CC_06Dec2021_09150002_frame1","09150002_frame_101.png","9/15/2021 10:21","09150002_frame_102.png","9/15/2021 10:21","99781263","RACCOON","arw","arw"
"59","GCBAR","GCBAR_CC_06Dec2021_09150003_frame1","09150003_frame_101.png","9/15/2021 12:51","09150003_frame_102.png","9/15/2021 12:51","99781264","RACCOON","arw","arw"
