date_added,latrine_site,month_year,segment_id,fragment_id,vehicle_access,fragment_type,fragment_description,fragment_weight,notes
7/13/23,GCETRO,Jun2021,GCETRO_S2_02Jun2021,GCETRO_S2_02Jun2021021,yes,Plastic,plastic,0.131,plastic
7/13/23,GCETRO,Jun2021,GCET2_S16_02Jun2021,GCET2_S16_02Jun2021_F1,yes,Plastic,plastic,0.031,plastic
7/13/23,GCETRO,Dec2021,GCETRO_S1_06Dec2021,GCETRO_S1_06Dec2021_F1,yes,Plastic,plastic,0.016,candy_wrapper
7/13/23,GCETRO,Dec2021,GCETRO_S1_06Dec2021,GCETRO_S1_06Dec2021_F2,yes,Plastic,plastic,0.055,plastic
7/13/23,GCETRO,Jun2021,GCET2_S4_02Jun2021,GCET2_S4_02Jun2021_F1,yes,Plastic,plastic,0.155,blow_pop_wrapper
7/13/23,GCBAC,Sep2021,GCBAC_S6_12Sep2021,GCBAC_S6_12Sep2021_F1,no,Plastic,plastic,0.006,small_plastic_fragment
7/13/23,GCETRO,Jun2021,GCET2_S12_02Jun2021,GCET2_S12_02Jun2021_F1,yes,Plastic,plastic,0.235,plastic
7/13/23,GCETRO,Jun2021,GCET2_S9_02Jun2021,GCET2_S9_02Jun2021_F1,yes,Plastic,plastic,0.077,food_wrapper
7/13/23,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F1,no,Plastic,plastic,0.02,food_wrapper
7/13/23,GCTC,Dec2021,GCTC_S1_06Dec2021,GCTC_S1_06Dec2021_F1,no,Plastic,plastic,0.023,milky_way_wrapper
7/13/23,GCETRO,Jun2021,GCET2_S5_02Jun2021,GCET2_S5_02Jun2021_F1,yes,Plastic,plastic,0.054,plastic_bag
4/10/23,GCETRO,Jun2021,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F1,yes,Plastic,plastic,0.108,plastic
7/13/23,GCETRO,Sep2021,GCETRO_S6_14Sep2021,GCETRO_S6_14Sep2021_F1,yes,Plastic,plastic,0.084,food_wrapper
7/13/23,GCETRO,Sep2021,GCETRO_S10_14Sep2021,GCETRO_S10_14Sep2021_F1,yes,Plastic,plastic,0.316,wrapper
7/13/23,GCBH,Sep2021,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F1,no,Plastic,plastic,0.008,food_wrapper
7/13/23,GCBAR,Jun2021,GCBAR_S3_02Jun2021,GCBAR_S3_02Jun2021_F1,yes,Plastic,plastic,0.93,plastic
7/13/23,GCETRO,Jun2021,GCETRO_S1_02Jun2021,GCETRO_S1_02Jun2021_F1,yes,Plastic,plastic,0.013,food_wrapper
7/13/23,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F1,no,Plastic,plastic,0.689,food_wrapper
4/26/23,GCBAR,Jun2021,GCBAR_S2_02Jun2021,GCBAR_S2_02Jun2021_F1,,Anthropogenic,fibers,0.002,n/a
7/13/23,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F3,no,Plant,rocks,0.573,many_small_rocks
4/26/23,GCBAR,Dec2021,GCBAR_S1_06Dec2021,GCBAR_S1_06Dec2021_F1,,Anthropogenic,rubber,0.064,n/a
7/24/23,GCWP,Jun2021,GCWP_S2_05Jun2021,GCWP_S2_05Jun2021_F2,,Anthropogenic,rubber?,0.002,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S5_14Sep2021,GCETRO_S5_14Sep2021_F3,,Plant,seed_casings,0.117,n/a
6/26/23,GCTL,Sep2021,GCTC_S4_13Sep2021,GCTC_S4_13Sep2021_F1,,Plant,seeds_plant_material,1.062,n/a
7/24/23,GCWP,Jun2021,GCWP_S1_05Jun2021,GCWP_S1_05Jun2021_F2,,Plant,seeds_plant_material,0.337,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S7_12Sep2021,GCBAC_S7_12Sep2021_F1,,Plant,seeds_plant_material,0.638,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S9_12Sep2021,GCBAC_S9_12Sep2021_F3,,Invertebrate,wing,0.028,n/a
